TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,NA,NA,2406300,4382300,3819600,,
NA,NA,NA,3046900,2808100,3380700,,
NA,NA,NA,11451000,13971000,12617000,,
12971000,9329700,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,8996400,8404400,8972600,,
NA,NA,NA,3858000,7908700,1166400,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,7087500,7901800,,
NA,NA,NA,5643200,5561900,7516000,,
NA,NA,NA,15459000,15847000,11857000,,
NA,NA,345580,NA,NA,NA,,
NA,NA,NA,15256000,28906000,NA,,
NA,NA,NA,NA,NA,25488000,,
NA,NA,NA,14780000,19387000,NA,,
NA,NA,NA,6601500,7370600,6071000,,
NA,NA,NA,NA,NA,NA,,
1973700,NA,NA,NA,NA,NA,,
NA,98891000,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,12977000,,
NA,NA,NA,1592200,3422500,2938900,,
NA,NA,NA,18536000,19381000,20239000,,
NA,NA,NA,19465000,29038000,18573000,,
NA,NA,NA,13286000,13521000,11919000,,
NA,NA,NA,NA,12043000,NA,,
NA,NA,NA,NA,25097000,35633000,,
NA,NA,NA,15001000,NA,NA,,
NA,NA,NA,NA,5049300,7114300,,
NA,NA,NA,NA,25637000,32498000,,
NA,NA,NA,4718500,6482600,4438800,,
NA,NA,NA,NA,NA,2103900,,
NA,NA,NA,3013100,NA,3425700,,
NA,NA,NA,NA,NA,4841500,,
5766200,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,25404000,NA,,
NA,NA,NA,14409000,20381000,19543000,,
NA,NA,NA,NA,4367000,NA,,
NA,NA,NA,2185900,NA,3922600,,
NA,NA,NA,9120600,12987000,10289000,,
NA,NA,NA,750810,1319000,646770,,
NA,NA,NA,19171000,24199000,NA,,
NA,NA,NA,NA,NA,21552000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,2428300,2807200,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
7765300,5105900,NA,NA,NA,NA,,
14749000,10462000,22940000,NA,NA,NA,,
NA,NA,NA,NA,29699000,NA,,
NA,NA,NA,2884700,3970200,NA,,
NA,NA,NA,5394000,NA,NA,,
NA,NA,NA,5215300,5072400,NA,,
NA,NA,NA,NA,12684000,10443000,,
NA,NA,NA,3418100,4730000,NA,,
NA,NA,NA,14166000,NA,NA,,
NA,NA,NA,NA,14602000,10494000,,
NA,NA,NA,6189500,6689800,11563000,,
NA,NA,NA,6217800,10734000,4763500,,
NA,NA,NA,7130000,10855000,NA,,
NA,NA,NA,NA,NA,7817900,,
NA,NA,NA,3219400,NA,NA,,
NA,NA,NA,1825300,NA,2741800,,
NA,NA,NA,2783300,4343100,2196400,,
NA,NA,NA,NA,3768400,4991800,,
NA,NA,12648000,NA,NA,NA,,
NA,NA,NA,5306300,6594200,6106800,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,13231000,NA,NA,,
NA,NA,NA,NA,12680000,13810000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,54266000,NA,NA,,
NA,NA,NA,1801900,2816700,NA,,
NA,NA,NA,4874000,7977700,4533500,,
NA,NA,NA,4212600,7179000,5133800,,
NA,NA,NA,NA,3717000,NA,,
NA,NA,NA,2262700,4481600,4233300,,
NA,NA,NA,11055000,19584000,11812000,,
NA,NA,NA,32011000,75352000,33531000,,
NA,NA,NA,22555000,47522000,NA,,
1395600,1252800,2578200,NA,NA,NA,,
NA,NA,NA,6172600,8666700,3644700,,
NA,NA,NA,NA,20527000,NA,,
NA,NA,NA,17447000,NA,18310000,,
NA,NA,NA,81576000,110350000,64277000,,
NA,NA,NA,NA,31666000,NA,,
NA,NA,NA,6540200,9609700,3006000,,
NA,NA,NA,NA,NA,5181800,,
NA,NA,NA,3425700,3048500,2228600,,
NA,NA,NA,NA,11858000,3117900,,
NA,NA,NA,NA,8482400,6521100,,
NA,NA,NA,145010000,NA,NA,,
NA,NA,NA,15560000,16909000,15353000,,
NA,NA,NA,17549000,24784000,17667000,,
NA,NA,NA,19955000,16115000,NA,,
NA,NA,NA,11644000,16803000,NA,,
NA,NA,NA,3248600,3527500,2562600,,
NA,NA,NA,NA,NA,3902800,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,9150000,,
NA,NA,NA,1900400,NA,NA,,
NA,NA,NA,NA,9394200,6222100,,
NA,NA,NA,155910000,221260000,220470000,,
NA,NA,NA,22857000,22610000,19762000,,
NA,NA,NA,35380000,54136000,41268000,,
NA,NA,NA,16684000,14283000,21163000,,
NA,NA,NA,3832700,7532500,3567000,,
NA,NA,NA,35784000,NA,37885000,,
NA,NA,NA,3984300,5268600,4089600,,
NA,NA,NA,6587800,NA,NA,,
NA,NA,NA,NA,12254000,NA,,
NA,NA,NA,4102100,NA,3446400,,
NA,NA,NA,11966000,10467000,15754000,,
NA,NA,NA,NA,4526300,NA,,
NA,NA,NA,8397000,10079000,8302900,,
NA,NA,NA,NA,15599000,NA,,
NA,NA,NA,NA,NA,15779000,,
NA,NA,102230000,NA,NA,NA,,
NA,NA,NA,7215100,8673500,8320700,,
NA,NA,NA,NA,NA,5480200,,
NA,NA,NA,NA,54678000,NA,,
16331000,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,1029700,NA,NA,,
NA,NA,NA,NA,105020000,NA,,
NA,NA,NA,6607200,16383000,21667000,,
20362000,NA,18691000,NA,NA,NA,,
NA,NA,NA,1817100,1929200,1808600,,
NA,NA,NA,4296700,5734800,6661600,,
NA,NA,NA,4409900,NA,NA,,
