iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0.000250786,0.021440852,0.056013026,0.024112427,0.028689447,0.057193995,0.189163163,0.152568654,0.134951656,0.193683659,0.171339442,0.1589384,0.022418083,0.085048708,0.057069091
0.075742643,0.163449102,0.096313096,0.192811022,0.170550295,0.165678727,0.625331465,0.625498152,0.774943427,0.555025554,0.399652054,0.143104878,0.709349593,0.616385309,0.359684848
0,0,0.034722028,0.089264873,0.217050913,0.094726713,0.248801696,0.215904645,0.163464308,0.235788232,0.176276677,0.134461283,0.089763489,0.09193441,0.105236364
0.000454924,0.00057187,0.000651547,0,0,0,0.001371923,0.006807333,0.001933621,0.000908924,0,0.006114454,0.00538544,0.000556199,0.000991758
0.101082992,0.240739854,0.172377297,0.6701357,0.863318238,0.933153708,1.063634077,0.634946743,1.335527669,0.435565457,0.156995666,0.295058433,0.330204484,0.326834876,0.542751515
1.225256828,1.757817698,1.743835776,6.336797763,4.881158227,6.545419554,8.683841759,8.397217593,10.78721799,9.692045603,7.437647165,9.757671718,7.102118748,7.355236885,8.235757576
0.026049166,0.018439388,0.037573854,0.089955457,0.060404831,0.06978445,0.149696382,0.179211651,0.151292601,0.07091469,0.096914978,0.081918118,0.07020202,0.089731954,0.086224242
0.00459495,0.007602395,0.00919458,0.005361762,0.002675861,0.00516718,0.027350796,0.041370915,0.054315984,0.012304416,0.028105044,0.012918947,0.013554447,0.023129425,0.019784242
0.000987778,0.024928809,0.003145615,0.010770346,0.021655002,0.022954837,0.086989328,0,0.024397586,0.005228935,0.043522654,0.063261705,0.07448879,0.049037938,0.045519394
0.09318745,0.099704591,0.113520586,0.076827458,0.091512282,0.085411855,0.610470339,0.5787769,0.556305287,0.3994103,0.332120521,0.295462565,0.204545455,0.199334422,0.181909091
0.358373006,0.207387891,0.209519656,0.853354511,0.816522574,0.616179112,1.664259279,1.749148612,1.00137146,1.289280566,1.102929046,1.349800196,0.782581917,0.936830641,0.827818182
0.688382193,0,0.156710863,2.028866407,2.344997942,2.322876572,2.383816607,2.767915368,2.05081259,1.851264579,1.319195525,2.247274372,0.939763489,0.46986749,0.861878788
4.051337732,5.21671324,4.82548267,18.09606022,17.60875532,17.31460098,26.05655564,29.98985581,23.59185353,17.7755209,17.00676395,17.87167308,14.74316334,13.82283536,13.76727273
0.747125477,0.91156354,0.444824378,5.265287801,4.925415123,3.976712856,3.666990047,4.644446055,3.57244737,3.623968025,3.895136254,3.230159089,2.098176891,2.299933442,2.03169697
0,0.019218097,0.020682717,0.451517558,0.366831343,0.466121375,0.266817578,0.042583871,0.025432353,0.201572533,0.026629872,0,0.040537078,0,0
0.024414934,0,0.019230635,0.076461448,0,0.026200924,0.17128382,0.04154554,0.151011452,0.060783646,0.094335378,0.163432104,0.023157797,0.066140255,0.117224242
1.674322782,1.360319361,1.212898348,5.605814716,8.123370386,7.562227354,9.799144838,7.047315412,6.750531441,5.149194077,4.672015838,4.698786097,3.050751417,2.808797725,2.834666667
0.029466856,0.144654691,0.030835078,0.167839508,0.245045972,0.175564537,0.506715533,0.234251141,0.37775492,0.420573975,0.494689323,0.249482018,0.405481646,0.170000605,0.041700606
0.02865837,0,0,0.030128103,0.162021408,0.031800744,0.219072258,0.16835012,0.060108345,0.214906303,0.206463998,0.122512252,0,0,0
0.026370445,0.027598137,0,0.175546425,0.054099081,0.166211188,0.159764292,0.121194116,0.140245491,0.036865417,0.035616479,0.052347734,0.278171964,0.142953954,0.112084848
0.001761074,0.003033826,0.004142184,0.015745313,0.02360505,0.021847575,0.003516223,0.037347294,0.005568264,0,0.003718884,0.024658675,0.033862405,0.001282991,0.001935576
0.051256995,0.028169261,0.029598162,0.049350506,0.007489365,0.018600205,0.25836657,0.163415695,0.144517589,0.11586948,0.154458059,0.059656488,0.232354028,0.213378109,0.205684848
0.009079317,0.010930672,0.013322866,0,0,0.017975366,0,0.029489892,0.085071659,0,0,0.030131946,0,0.018567193,0.046024242
1.383947215,1.630605456,1.968073971,6.84741549,6.073624262,6.616628176,7.417627825,8.61241939,9.572790235,6.20646049,5.471931851,5.574304456,4.087583149,3.585345193,3.520181818
2.170550405,2.160745176,2.511514306,8.196540175,6.514409222,7.30369515,11.16812188,11.13977248,12.74017692,8.042851527,8.582269748,7.674281837,7.349716679,6.375627761,7.564242424
0,0.004648623,0,0,0,0.024562484,0.035519385,0.011915803,0,0.006475757,0,0,0,0.005245054,0
0.250457975,0.306485695,0.348150733,1.646766341,2.115067929,1.479407236,0.549646078,1.805159046,2.257697319,2.575350544,2.285825697,2.163190832,1.192473516,1.249470563,1.612787879
0.96077285,1.135648703,0.798848569,2.372293774,2.318443804,1.636836028,5.053860803,4.807332802,4.838236303,4.323417639,2.799286111,3.426796351,1.98102981,1.743994675,1.761333333
0,0.094701264,0.09980228,0.126439004,0.272601894,0.270374647,0.776831591,0.521614376,0.173256532,0,0,0.096243685,0.302315841,0.131802505,0.183006061
