Intensity IN_1,Intensity IN_2,Intensity IN_3,Intensity IN_5,Intensity IN_6,Intensity PD_1,Intensity PD_2,Intensity PD_3,Intensity PD_5,Intensity PD_6
1851800000,1398200000,1562200000,910880000,1594800000,0,0,1405600,0,1143500
902490000,632460000,853830000,6993900,5482600,751640000,277430000,648810000,41581000,453650000
143370000,63451000,12310000,47119000,13430000,0,0,0,0,0
1645700000,1243000000,2353500000,513040000,1880200000,159120000,48630000,141830000,13243000,113090000
3258700000,2421000000,2390900000,2025900000,3151700000,30386000,13716000,8712500,2569000,19326000
61376000,42722000,34998000,21467000,47787000,0,0,0,0,0
230370000,169540000,282650000,106900000,264870000,0,0,0,0,0
54280000,23280000,21913000,13337000,24203000,0,0,0,0,0
6199000,3332600,11957000,0,0,0,0,0,0,0
92476000,5980100,125460000,11735000,38158000,58759000,26033000,55113000,1848500,28785000
35088000,45765000,29929000,17142000,32927000,0,0,0,0,0
997140000,886920000,1494300000,1145800000,2411500000,36544000,9137300,26955000,722690,33871000
0,9205500,14228000,2732400,4503900,3753800,1627200,5174100,0,0
31047000,22378000,27047000,12929000,25691000,0,0,0,0,0
94198000,56559000,58429000,35129000,85754000,0,0,0,0,0
79688000,62720000,156070000,64089000,180250000,9228500,8403400,13600000,0,5525400
581820000,378850000,538290000,395850000,1027700000,0,0,0,0,0
24599000,12822000,34859000,13540000,0,0,0,0,0,0
340880000,345870000,266900000,171230000,308740000,2214800,946760,0,0,1552300
11858000,3928700,3746400,975780,11980000,0,0,0,0,0
56746000,39942000,35769000,16142000,50076000,0,0,0,0,0
66620000,29789000,85623000,18690000,31023000,69121000,28614000,50875000,5117700,21634000
26412000,17584000,34881000,25408000,21980000,0,8265200,16836000,0,10993000
62553000,23728000,68618000,11999000,29555000,0,839920,1218400,0,1031300
21479000,19939000,68777000,17797000,74586000,26616000,5549900,13798000,842110,11214000
7998300,24536000,299620000,31200000,41430000,756660000,2550200,924700000,83774000,801180
187630000,163340000,241830000,90279000,137800000,0,0,0,0,0
393640000,237990000,281160000,170970000,331510000,0,0,0,0,0
1024700,781860,5902600,0,2232700,0,0,0,0,0
0,0,5979000,0,0,0,0,0,0,3315300
7397700,6434900,12354000,8770800,11673000,16067000,7882100,67712000,465030,7669300
4682200000,2935100000,4341100000,3148700000,3208900000,134960000,38200000,79886000,20707000,94396000
12054000,8497700,10766000,5871900,11356000,80843000,36932000,73099000,7755900,73660000
187490000,102070000,231960000,70636000,190830000,35165000,14220000,35648000,0,12326000
684890000,507560000,622480000,304910000,503240000,42839000,17596000,30033000,0,17202000
506100000,327010000,477840000,257840000,632830000,33617000,10472000,27795000,434740,13240000
46693000,23549000,38017000,22926000,34034000,0,0,0,0,0
101330000,54045000,85126000,56388000,56542000,0,0,0,0,0
0,7637500,0,0,13354000,0,0,0,0,0
34709000,6512800,37513000,3888900,22188000,18204000,6963400,22111000,0,9945500
68667000,58920000,66944000,41204000,25463000,54987000,16556000,41084000,5775500,30526000
44664000,39137000,64972000,32221000,50955000,0,0,0,0,0
2231500000,1857600000,2674000000,1188600000,2593300000,86975000,34146000,67379000,2466400,61787000
0,11780000,8664800,19206000,54910000,0,0,0,0,0
6050500,0,9943800,4542900,8792600,0,0,0,0,0
41798000,24646000,0,7120700,29301000,0,0,0,0,0
1076300000,753720000,1047900000,307020000,766790000,69012000,24230000,65232000,26980000,23817000
18153000,11763000,17368000,9682500,7297200,0,0,0,0,0
11339000,9217000,16725000,5694200,32242000,0,0,0,0,0
15310000000,11243000000,11723000000,5703100000,9233300000,226650000,107380000,234260000,9920400,104450000
42366000,35843000,28334000,15371000,162550000,0,0,0,0,0
27185000,0,32591000,10015000,49088000,0,0,0,0,0
982630000,683500000,1049000000,462490000,906730000,59097000,14193000,27026000,651840,22777000
9685200,0,9357100,0,16845000,0,0,0,0,0
640800000,446850000,466750000,206690000,563180000,4572800,337240,6404700,287270,3324500
133380000,116320000,246800000,68961000,191210000,6386300,0,4308000,0,0
62662000,45457000,45822000,64916000,81914000,0,0,0,0,0
551160000,380310000,440990000,393710000,862920000,5575600,720420,1514200,463790,3551100
136180000,72640000,117220000,34515000,85323000,2862900,0,1669800,0,1068600
52792000,39964000,45896000,46977000,64717000,0,0,0,0,0
89626000,69959000,63887000,25939000,61996000,5393300,3943800,1690800,50098,3193600
52957000,0,97375000,6080000,0,8495000,2394700,6546600,678140,4237100
26901000,11309000,24437000,9549400,19947000,0,0,0,0,0
487250000,279580000,463910000,186040000,562640000,7541900,3432200,3574100,0,7065600
26105000,19432000,29660000,28956000,65901000,0,0,0,0,0
57816000,47911000,61750000,22109000,50667000,0,0,0,0,0
3236500,2201300,6826500,414350,0,0,0,0,0,0
17694000,15790000,16402000,6135900,14049000,0,0,0,0,0
37003000,18497000,12099000,7249300,36357000,0,0,0,0,0
323160000,128380000,186630000,116190000,161530000,0,0,0,0,0
10764000,545530,42353000,0,7075100,0,0,0,0,0
843280000,468020000,895190000,746380000,1388200000,17044000,5076300,12073000,607920,7486800
270410000,224110000,369270000,149530000,300560000,1856800,3194600,4851500,0,4480100
53560000,50331000,76324000,46691000,79797000,0,0,0,0,0
59069000,43317000,62816000,50960000,62259000,0,0,0,0,0
7590300,8161300,8706500,2169300,2394800,0,0,0,0,0
15115000,17096000,13509000,40039000,13552000,11975000,3760600,4091800,217660,8868500
225070000,131960000,197820000,128890000,162610000,0,0,0,0,0
3797800000,2237500000,4489800000,2481200000,2421900000,612880000,208960000,486060000,44493000,324830000
205150000,111890000,139010000,105860000,173710000,807640000,346940000,854020000,29147000,477310000
24525000,17407000,25897000,16763000,24383000,0,0,0,0,0
259750000,148870000,161360000,77702000,273900000,0,0,0,0,0
195440000,94818000,208020000,14403000,83837000,103320000,28862000,110730000,2511600,90446000
1659000000,1091600000,1746300000,748130000,1251600000,11234000,5254400,4539100,0,7260500
4291800000,3176300000,4128400000,2215100000,3947100000,11316000000,4854900000,11072000000,910810000,5468400000
101910000,138460000,144270000,66347000,980570000,31557000,2035500,10056000,1729000,15832000
196560000,214880000,223360000,219330000,292350000,0,1511600,7138900,0,0
54695000,26316000,102830000,34239000,86795000,721280,910490,821150,0,425420
