DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
365000,418000,534000,493000,74000,579000,450000,,,,,,,
333000,862000,484000,556000,456000,302000,415000,,,,,,,
4022000,4885000,6143000,8822000,8165000,5391000,5210000,,,,,,,
14849000,13906000,14020000,14424000,17118000,11961000,19159000,,,,,,,
1789000,1725000,1637000,1749000,1757000,1410000,2614000,,,,,,,
2720000,3543000,2653000,2791000,3203000,2220000,2674000,,,,,,,
3231000,2824000,3254000,3746000,5574000,4186000,3771000,,,,,,,
8956000,7565000,8757000,10317000,13439000,11301000,10576000,,,,,,,
1629000,1359000,1716000,2106000,3425000,2585000,1731000,,,,,,,
33000,32000,37000,48000,49000,37000,13000,,,,,,,
819000,604000,583000,759000,868000,633000,360000,,,,,,,
103000,94000,68000,87000,189000,83000,65000,,,,,,,
59926000,46992000,51682000,57902000,70534000,47929000,39125000,,,,,,,
50618000,38976000,43810000,51158000,56436000,33859000,35763000,,,,,,,
20631000,19432000,20965000,24787000,24852000,18775000,15071000,,,,,,,
5791000,23000,1260000,1299000,1589000,1713000,888000,,,,,,,
1246000,1096000,1216000,1465000,1386000,1617000,1450000,,,,,,,
89000,65000,83000,81000,140000,98000,95000,,,,,,,
1439000,1217000,1418000,1448000,1970000,1318000,1820000,,,,,,,
3000,242000,3000,1000,1000,1000,4000,,,,,,,
234000,300000,326000,298000,342000,177000,501000,,,,,,,
7553000,7175000,7623000,8415000,9758000,6997000,6379000,,,,,,,
2397000,2119000,1984000,2279000,2941000,1857000,2381000,,,,,,,
638000,555000,502000,673000,514000,530000,733000,,,,,,,
23000,27000,37000,28000,32000,34000,23000,,,,,,,
416000,81000,60000,67000,84000,115000,73000,,,,,,,
5749000,4685000,4710000,5016000,5889000,4346000,5617000,,,,,,,
