DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
3392261000,3361135000,3457439000,3182367000,2366358000,3163673000
1877113000,2147992000,2280419000,2009850000,1419656000,1706609000
51923000,37141000,45645000,49826000,41256000,47979000
437301000,465038000,559745000,589885000,493225000,599931000
61650000,135481000,150785000,200474000,147907000,185775000
265251000,367508000,439259000,384198000,348023000,380188000
1954904000,2157419000,2350634000,2265137000,1696547000,2079360000
4775130000,5329107000,6268554000,5547105000,4810977000,4759296000
2172450000,2016079000,1439879000,1015585000,573506000,1710837000
98275000,103284000,91257000,41516000,19063000,88571000
1633002000,1917322000,1689962000,1620334000,1529212000,1544323000
152982000,266286000,211904000,196628000,108075000,211209000
37319000,51835000,38029000,46396000,34925000,33852000
931940000,1334657000,624075000,918181000,786342000,703161000
33534000,46468000,32449000,37984000,44769000,30270000
0,2057000,619000,1707000,1597000,1093000
205063000,226237000,262154000,133092000,28392000,222998000
496096000,644839000,685194000,582112000,279479000,630907000
34010000,79781000,44668000,61750000,15563000,68704000
9748620000,10670839000,11621937000,9640204000,5860437000,9410395000
0,0,0,0,0,0
2.3219E+11,2.35118E+11,2.68534E+11,2.44641E+11,2.46413E+11,2.18224E+11
0,0,0,0,0,0
18682000,92889000,48747000,81238000,54085000,71732000
706940000,642081000,753583000,771062000,801387000,710600000
7066141000,6528968000,6949688000,6291414000,6447805000,5796303000
286883000,238236000,217736000,167361000,153127000,196234000
42965513000,42578872000,50152532000,46544881000,44989422000,40914588000
0,0,0,0,0,0
4092384000,4068199000,4644618000,4113797000,2794564000,3618415000
4079865000,4489319000,4608250000,4210246000,2886928000,3677506000
0,0,0,0,0,0
10246428000,10151814000,10496609000,9852048000,10355499000,8183968000
550586000,680970000,666787000,689250000,680465000,570120000
12477000,23187000,4012000,27748000,13153000,16292000
129603000,151875000,208498000,190166000,188744000,251340000
0,0,0,0,0,0
117100000,132795000,151565000,154064000,124433000,95766000
224060000,356164000,338376000,420521000,302316000,331072000
36452000,2105000,1809000,2452000,2217000,1779000
23730000,24339000,40902000,40461000,39497000,54011000
39977000,0,0,0,0,246000
13794000,16844000,18068000,21596000,13644000,15626000
720749000,863687000,746675000,779309000,771003000,604018000
59304000,69966000,68093000,75364000,59492000,37313000
27525000,105294000,118449000,111223000,61357000,109146000
384209000,355080000,274149000,335327000,249523000,312920000
15981000,34767000,11173000,20446000,36971000,9972000
0,23893000,2000,45539000,323000,35996000
14293698000,19696550000,28479567000,31527955000,31139187000,24877529000
0,0,0,0,0,0
2932890000,2897126000,3211826000,3106978000,2936086000,2833146000
41667000,41471000,36594000,55202000,43146000,51423000
21539000,24701000,31574000,34923000,20849000,10462000
0,0,0,0,0,0
0,4624000,7402000,6022000,3976000,21295000
0,5957000,7188000,7732000,6522000,6756000
2982000,1460000,2661000,8716000,6788000,160000
9503000,17083000,14710000,23563000,12520000,21634000
222354000,227843000,270735000,316199000,280458000,292167000
90196000,65424000,72139000,70153000,39560000,52334000
89316000,88277000,109623000,144546000,87494000,137427000
22018000,27698000,29853000,28282000,17050000,26066000
896783000,962735000,1063050000,1200513000,800184000,913932000
131028000,138621000,135372000,216265000,113437000,145117000
7058000,11482000,14351000,14588000,6678000,11023000
15440000,12448000,28935000,31383000,15354000,8106000
1142000,71174000,46420000,110509000,72976000,59014000
217453000,294672000,233510000,320447000,240023000,261377000
20560000,31669000,28037000,46522000,20145000,32435000
102996000,101644000,129398000,115544000,119044000,94229000
93667000,187899000,120471000,190752000,139296000,148029000
24163000,45609000,41976000,58189000,26606000,42599000
20597000,32864000,27032000,38794000,35754000,32800000
0,93501000,93098000,67559000,97153000,65598000
447411000,457171000,317666000,686030000,495111000,489861000
41446000,35541000,41873000,74114000,43428000,58204000
18398000,15293000,18496000,21801000,11929000,17742000
94348000,130061000,146459000,116051000,63044000,95025000
136908000,65587000,86435000,49305000,127673000,49158000
51111521000,48077187000,48113256000,46891193000,46680287000,40553519000
11219000,6565000,5457000,5325000,7905000,4246000
60657000,60269000,54721000,40326000,17936000,47565000
282273000,262837000,448902000,440635000,283401000,320349000
894592000,1335190000,1449285000,1189205000,731073000,1093766000
0,4122000,234000,3140000,2052000,3874000
155200000,59974000,63243000,53848000,122211000,40714000
0,0,0,0,0,0
190034000,137254000,149767000,198807000,139086000,172786000
75611000,155930000,120863000,155033000,114366000,144639000
17845508000,17756598000,18444282000,12562150000,4787280000,13828857000
35464000,47500000,67508000,52758000,47242000,58574000
32000,129000,0,13454000,1049000,14468000
39885000,56584000,61028000,68288000,45068000,43353000
0,0,0,0,0,0
