Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
268.7,388.2,297.5
480.4,517.5,528.5
555.8,556.2,608.8
769.2,809.9,838.1
3980.5,3299.6,4329.9
1175.5,1130.6,1278.4
3430.3,3593.4,3723.9
1071.2,1030.6,1163.3
504.2,404.7,545.6
395.6,405.6,427.2
376.5,428.7,406.8
882.2,935.2,947.7
2282.6,2343.4,2433.7
327.5,351.5,349.4
1429.2,1253.9,1521.3
435.5,424.7,462.1
431.3,368.2,458.1
981.5,972.8,1040.4
1984.1,1937.1,2104.5
848.1,877.9,898.9
314.1,330.5,332.3
2120.7,2020.3,2245.2
309.6,331.3,327
449.1,438.1,474.5
538.6,587.3,568.3
285.7,274.9,300.8
398.9,447.6,418.9
336.4,352.8,351.5
2333.7,2441,2438.8
398.2,406.7,415.7
860.5,857.6,895.2
413.7,401.1,430.2
1145.7,1115.8,1185.7
243.5,244.9,251.8
396.2,427.3,409.3
855.8,884.2,884.2
743.3,724,765.9
1059.3,1040.1,1091.6
371.2,367.6,382.6
777,836.8,801.1
2493.3,2306.1,2566.7
627.3,640.1,644.8
135,132.3,138.5
332.4,344.6,340.5
665.5,661.6,682.2
426.4,414.5,435.3
1332.9,1322.6,1361.3
638.8,627.4,651.5
661,683.3,673.3
528.1,498.7,538
6580.8,5661,6692.6
359.7,382.9,366
1166.8,1186.8,1180.7
396.1,397.1,400.4
1807.2,1913.1,1824.6
1278.1,1201.5,1291
1114.3,1108.2,1125.7
294,289.5,296.6
831.6,869.7,839.4
302.9,343.3,305.8
343.6,348.4,346.2
649.3,593.6,654.4
1725.8,1744.8,1739.9
1523.7,1609.8,1534.4
1411.3,1620.4,1420.5
391.5,365.2,393.1
361.8,358.4,361.3
676.8,642.7,673.8
376.6,373.6,373.6
1840.4,1811.7,1824.1
757.1,796.7,748.6
997.5,914.1,982.7
1424,1493.4,1401
504,560.3,495.4
1244.7,1234.7,1219.7
1190.9,1328.3,1164.8
351.7,379.4,343.4
2188.2,2252.8,2137.7
981.5,1041.6,957.6
326.3,320.7,318.1
1493.1,1675.3,1451.5
653.9,661.1,634.4
651.1,616.6,630.6
711.4,784.8,687
620.9,630,599.7
739.1,738.1,714
359.2,344.7,347.2
1305.2,1354.9,1258.1
333.7,302.3,321.5
777.2,780.8,748.8
1348.6,1441.7,1285.3
1323.4,1292.1,1260.2
2017,1576,1918.2
1937.3,1981,1841.8
1255.8,1194.4,1192.2
733.5,735.2,695.2
835.8,878.5,792.2
3545.8,3359.5,3356.1
663,642.6,625.9
339.7,328,320.1
1043.8,1076.8,983.8
643.4,660.9,605
89,89.7,83.7
2837.7,3085.5,2663
3074.1,3265.5,2879.9
329.9,310.3,308.8
2073.9,2414.6,1933.9
794.1,840.5,741
1140.5,1099,1063.2
610.7,571.4,568.1
909.2,771.4,844.5
663.7,684.9,615.8
890.8,868,824.3
1180.9,1226.1,1090.6
663.5,651.3,611.9
2159.1,2314.7,1982.5
438.8,473.4,402.6
395.8,426.2,363.2
100.1,105.8,91.8
814.3,886.4,742.1
1247.8,1374.3,1129
748.8,743.8,672.9
35.3,35.1,31.6
542.4,495,485.3
511.6,530.9,457.3
3032.9,2912.5,2701.3
515.9,484.7,457.5
511.6,518.9,447.9
1296.2,1429.2,1135.2
420.5,424.1,367.4
672.4,472.8,582
250,265.2,216.3
962.7,897.1,831.4
764.8,781.9,658.7
1395.5,1563.2,1197.6
1335.7,1390.6,1146.9
721.2,713.6,617.8
1906.7,1752.4,1628.4
1420.9,1685.4,1185.4
887.9,871.8,739.6
529.7,390.9,405.3
2008.8,1365.2,1512.1
332.8,414.8,442.6
859.4,985.8,1093.2
818.1,729.9,999.2
311.9,298.6,378.9
479,402.6,578.4
1057.8,1271.8,1257.4
282.2,208.4,333.8
1188.3,1126.8,1398
7803.2,7488.9,9156
211,193.3,245.9
481.4,527.1,560.6
294,311.4,342.3
505.4,471.1,582.5
644.5,658.9,734.6
2200.2,2217.1,2507.7
96.5,101.4,109.6
501.7,512,569
333.9,310.2,378.1
112.1,120.8,125.7
948.7,977.4,1062.4
538.7,557.3,602.6
2110.6,2119.3,2357.7
703.1,730,785.7
3336.4,3417.2,3716.5
826,881.9,917.2
525.3,540.1,581.7
263.4,242.1,291.8
491.7,521.2,543.7
881.5,838,968.4
775.3,726.5,850.7
273.3,256.8,300
1507.8,1569,1652.6
158.9,167.4,174.1
335.4,318.9,365.8
727.5,765.6,793.6
452.2,418.8,492.5
452.7,468.1,493.3
231.3,234.8,251.3
923.9,913.7,1002.7
210,215.8,228.1
392,412,424.5
1794.9,1578.5,1941.9
991.8,913,1072.2
1078.6,833.8,1159.3
857.9,1069,922.7
1563.5,1484.5,1677.4
102,118.3,109.2
195,189,207.8
128.8,134.6,137.1
163.2,165.5,173.8
183.8,170.9,195.7
524.7,481.1,559
310.8,308.1,330.5
351.4,407.4,373.7
2114.1,2100.4,2248.9
165.1,201.4,175.7
370.2,334.4,394
1403.9,1516.9,1491.3
262.2,263.9,278.4
753.7,792.9,800.1
661,600.1,700
261.6,235.1,276.7
540.6,570.4,571.2
330.2,319.6,349.2
192.1,205,202.9
432.8,507,455.4
376.1,391.4,395.3
632.4,619.1,664.9
221.1,226.8,231.7
71.5,69.8,75
110.7,108.6,115.9
291.4,300.4,304.5
293.7,297.7,306.6
351.1,351.5,365.1
333.7,296.6,346.4
195.8,211.1,203.3
522,497.4,542
810.7,753.9,841.9
490,531.5,508.2
432.7,421.8,448
178.6,185.5,184.5
1755.9,1655.2,1812.2
14166.3,15689,14621.7
266.7,294.7,275
137.5,142.6,141.6
456.7,489.1,470.3
108.9,118.6,112.2
422.3,439.2,434.3
375.1,373.6,385.8
327.8,330.1,336.9
931.8,917,957.9
409.9,403.5,420.9
882.9,878.3,905.7
686.2,692,704.2
278,256.8,284.6
987.4,948.8,1009.9
580.3,599.6,592.7
408.5,360.8,416.6
877.9,837.5,894.4
163.4,174.7,166.2
394.2,401.3,400.1
503.5,468.3,510.7
675.4,745.2,684.4
3473,3226.6,3513.8
546.1,547.9,552.8
1234,1327.7,1249.1
1864.6,1775,1887.6
334.1,379.5,337.4
233.7,217.3,235.8
592.3,528.8,597.7
2311.8,2433,2333.5
258.9,267.9,261
4393.7,4173.3,4429.4
1006.2,924.1,1012
651.3,622.7,654.3
343,347.2,344.7
386.7,390.4,387.8
890.4,891.5,893.1
552.8,583.7,554.1
155.6,142,155.6
767,713.5,766.1
72.5,77.3,72.4
1948.4,2109.5,1942.1
419.1,444.5,418
97.3,94.8,96.9
273.5,299.9,272
718.3,676.8,714.6
733.2,697,729.5
118.5,119.9,117.8
1304.8,1282.3,1295.3
1893.1,2445.2,1877.4
985.5,1041.3,974.4
473.4,508.1,468.4
381.7,403.5,377.1
286,301.7,282.6
496.2,499.1,489.8
889,937.3,877.8
113.7,119,112.1
283.2,270.5,278.9
664.1,742.5,654.4
300,284.6,295.2
396.7,336.6,390.4
322.6,327.1,317.6
340.7,355.7,335.1
1244.7,1182.9,1222.6
1267,1235.3,1242.9
383.9,369.5,376.4
1397.4,1370.3,1368.6
556.6,489.3,545.4
1113.9,1162.3,1089.6
646.8,615.5,632.9
388.9,383.1,380.3
608.3,560.5,593.8
319.4,344.6,312
636.7,642.7,621.4
633.3,673.5,617.2
75.1,75.8,73.2
735.1,707.4,715.7
877.9,884.4,855.2
98.6,105.5,95.9
244.1,243.6,237.5
1001.9,1132.8,971.6
1468.3,1520.9,1422.5
252,255.1,243.9
955,1016.1,923.9
278.6,282.8,269.1
600.3,568.4,580.3
1102.8,971.5,1064.9
