Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-9.08946,-4.92095,-12.60735,-0.41008,-0.02553,-1.68017,2.06265,0.16882
2.90035,-0.34292,-0.85988,0.26,-0.31,-0.56738,-0.07427,0.00474
3.01698,3.34684,0.4141,-0.09514,-0.02752,-0.66769,0.10017,-0.0228
2.02349,0.0695,0.17765,-1.66337,-1.15365,-5.27501,-0.30475,-1.87166
-1.79149,0.3487,-2.86716,-5.75893,-0.6055,16.12739,-0.76501,-0.20074
-1.27531,-0.22968,-0.34892,-0.61604,-0.36323,6.28565,-3.69785,0.50268
-2.66473,-6.30532,-3.83996,0.17763,-0.02287,-0.0166,4.77301,3.47595
-7.46489,-7.73872,-8.80831,-1.12309,-2.34157,-0.95578,8.57518,3.76905
2.06272,15.57362,9.2238,0.58293,1.60835,-0.26976,-0.50454,-1.7273
4.21153,19.7202,13.70146,1.06206,4.21437,-1.24906,-1.22055,-2.081
2.6298,9.1071,7.20732,-0.44267,0.50656,-1.38373,-2.83905,-4.40483
-0.317,-0.92753,0.20742,6.06253,1.13016,-0.60445,0.25246,0.03055
-0.40236,-10.07406,-3.03463,-0.39267,-0.77527,-1.97686,1.67616,1.23144
6.54963,-1.23782,0.25305,6.95926,0.56784,0.1114,0.03873,5.44293
3.89843,-2.27348,-0.94755,7.25328,0.33162,1.88596,0.13573,5.99287
1.84344,-2.09493,0.08263,9.03365,0.49434,-0.07516,0.65511,5.5717
0.34691,-0.26084,0.09722,4.16984,0.26143,0.2596,-2.27546,0.06041
6.81069,-0.96715,0.61942,7.95195,0.1202,-0.04625,-0.1805,3.00264
-0.01186,-7.76298,-3.75353,1.52364,0.00718,-1.06282,4.81163,3.90133
0.45925,-8.74081,-6.14738,-2.8373,-0.32555,-0.14369,3.4893,0.83662
-5.12004,-15.07051,-14.61439,0.10342,-1.70548,-0.02765,2.13162,5.59931
0.4198,-0.97005,-2.23234,0.27712,0.05427,1.722,0.07399,-0.02142
-0.01466,-1.46632,-1.10769,-1.99518,-0.95009,1.31015,-0.64718,-0.83811
-0.21842,-2.05312,-1.48596,-2.43583,-0.21958,2.44582,-0.60212,-0.28745
