Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
28471000,28471000,NA,NA,NA,NA,28471000,28471000,NA
128310000,83692000,44615000,128310000,83692000,44615000,NA,NA,NA
2268700000,1311100000,957530000,1635700000,929960000,705780000,632910000,381160000,251750000
39170000,31166000,8004500,39170000,31166000,8004500,NA,NA,NA
45010000,23660000,21350000,32622000,14644000,17978000,12388000,9015700,3372500
258210000,147470000,110740000,76495000,46987000,29508000,181720000,100480000,81235000
16769000000,9572200000,7196500000,9827700000,5137900000,4689800000,6941000000,4434300000,2506700000
33474000000,20584000000,12890000000,20291000000,13137000000,7154200000,13182000000,7446400000,5735900000
39568000000,23269000000,16299000000,24880000000,13916000000,10964000000,14688000000,9353100000,5335000000
143770000,109990000,33780000,44906000,20513000,24393000,98864000,89477000,9387500
513370000,260900000,252470000,94664000,59604000,35060000,418710000,201300000,217410000
946870000,506310000,440570000,530640000,176330000,354310000,416230000,329970000,86259000
9979700,5827600,4152200,9979700,5827600,4152200,NA,NA,NA
3993700000,2451700000,1542000000,2018700000,1356800000,661920000,1975000000,1094900000,880120000
165270000,129780000,35486000,119290000,99383000,19904000,45982000,30400000,15582000
1025200000,498660000,526590000,52157000,39407000,12750000,973090000,459250000,513840000
259160000,163750000,95410000,221720000,148050000,73668000,37441000,15699000,21742000
279420000,278670000,749450,279420000,278670000,749450,NA,NA,NA
4955500000,2458800000,2496700000,3608700000,1182400000,2426300000,1346800000,1276400000,70397000
629520000,390660000,238860000,487440000,306590000,180850000,142080000,84069000,58013000
62035000,39821000,22213000,40018000,28754000,11264000,22016000,11068000,10949000
330140000,196650000,133490000,158660000,38429000,120230000,171480000,158220000,13261000
182220000,146730000,35492000,182220000,146730000,35492000,NA,NA,NA
23263000000,12734000000,10529000000,15517000000,7926300000,7590600000,7746000000,4807600000,2938400000
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
826080000,488710000,337370000,108150000,65370000,42784000,717930000,423340000,294590000
118570000,39785000,78786000,101510000,29016000,72492000,17063000,10769000,6294600
79331000,50873000,28457000,NA,NA,NA,79331000,50873000,28457000
94368000,72723000,21645000,54995000,42974000,12021000,39373000,29749000,9623900
21452000000,12774000000,8677100000,13422000000,8761500000,4660400000,8029600000,4012900000,4016700000
1870300000,1086800000,783560000,563400000,343660000,219740000,1306900000,743110000,563820000
2126700000,1362300000,764430000,970880000,638400000,332480000,1155800000,723850000,431950000
23205000000,13525000000,9680200000,7798200000,4832300000,2965900000,15407000000,8692500000,6714300000
3455600000,1892800000,1562800000,2686900000,1465800000,1221100000,768690000,426980000,341710000
