LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
-0.27617968,-0.33502756,0.20747655,0.0971341,0.05948136,0.11949269,-0.09600457,-0.1137463,0.09357131,0.09758612,-0.0662865,0.09412217
0.33732091,-0.24403698,-0.43482725,0.08379153,0.15484987,0.17176867,0.22169167,-0.3485857,-0.55539112,-0.1553243,0.28024508,0.17267067
0.17626274,0.06551917,-0.17594891,-0.04552501,0.00713702,0.12462748,0.20226718,0.00148441,-0.27909755,-0.13220724,0.02028573,-0.04060536
0.20488359,0.07102763,-0.18058392,-0.03007998,-0.05073031,0.06310683,0.12782294,0.02477545,-0.17965923,-0.11239085,0.00670222,-0.01969346
0.42336083,-0.49792666,-0.3702941,-0.01514435,0.1782128,0.0604737,0.00224841,-0.4720537,-0.29594298,0.01946091,0.22626847,0.24482506
0.15121032,0.30074675,-0.30679366,-0.0674166,-0.26487627,-0.1474581,0.09479746,0.15807562,-0.12875637,-0.06089185,-0.16726657,0.06616482
-0.44487275,0.69698482,0.41468835,-0.37591658,-0.82823592,-1.04306967,-0.63495497,0.83268676,0.64442352,0.06301794,-1.19075667,-0.8139014
0.07017975,-0.23038157,-0.09997281,0.1432905,0.15434321,0.18428087,0.10000504,-0.30117714,-0.23173117,0.03502797,0.15385602,0.0497219
0.02128155,-0.42681774,-0.20935983,0.10895993,0.12085302,0.24086904,-0.008217,-0.37969062,-0.14979669,0.05770488,0.09292024,0.37689656
-0.16976439,-0.67217216,-0.06548284,-0.04697332,0.15311627,0.434444,0.05881169,-0.27412103,-0.16945476,0.02437036,0.2725271,0.2339613
-0.92911404,0.06494391,0.72249593,-0.22476585,-0.68411587,-0.5938525,-0.38614963,0.59604312,0.96459315,0.12378162,-1.23404653,-0.54386815
0.22794977,-0.23019957,-0.20895106,-0.05388388,0.11912408,0.14146703,0.16272243,-0.19819631,-0.38200403,-0.14389243,-0.0441749,0.24416443
-0.11785121,-0.02320786,0.04441428,0.03887135,0.02039724,0.00853903,-0.18965229,0.00673149,0.0235657,0.05237052,0.07937338,0.04360341
-1.35245868,0.78780377,0.99041953,-0.05528043,-1.39415935,-1.91441453,-0.93210159,0.72693989,0.92672649,0.38535139,-1.57130866,-1.81921538
-1.44431045,0.71329523,1.03084407,-0.19434357,-1.54232599,-2.00281997,-1.05130112,0.68720037,1.06819846,0.37312079,-1.33152584,-1.5889147
-0.40166363,-0.0440172,-0.02211906,-0.03316884,-0.21971301,-0.03890071,-0.11619662,0.06343732,0.29798161,0.10562584,-0.06293493,0.32662142
-0.15374951,0.28537103,0.2295788,-0.33341614,-0.36177084,-0.2204967,-0.14567757,0.20148359,0.2790144,0.08356174,-0.19479281,-0.02556695
-0.3162074,0.10841656,0.17816317,0.03601926,0.05069546,-0.27188595,-0.21673184,0.27217039,0.2781667,-0.05231159,0.1081935,-0.30806931
0.1004882,-0.49779806,-0.16621438,0.00483146,0.16739101,0.15351185,0.00941799,-0.34100183,-0.1974359,0.22520975,0.1852705,0.24607721
-0.04701637,-0.46341417,0.05022044,0.13134996,0.21049345,0.15836878,-0.15097022,-0.26782794,-0.13822309,0.11777081,0.12112689,0.24559339
-0.04124396,-0.45082924,-0.07714231,0.01229726,0.15485135,0.08737997,-0.03799449,-0.35470192,0.05367676,0.09263561,0.09408058,0.34075813
0.02913434,0.2143165,0.17696292,-0.0275198,-0.13295353,-0.22470249,-0.17119854,0.2836414,0.05885078,-0.02796874,-0.23410207,-0.19166357
-0.07704145,-0.19704179,0.06078847,0.02960227,0.04929606,-0.03632098,-0.12365057,-0.26494556,0.10618313,0.14605278,0.01811618,0.17569513
0.13971201,-0.35595026,-0.17289977,0.12922206,0.16360186,0.14176025,0.01831198,-0.34184318,-0.2436935,0.14626538,0.08180494,0.18623507
0.07030872,-0.57798531,-0.26264215,0.10930552,0.22004292,0.26365411,-0.0607727,-0.34171176,-0.08511265,0.00349861,0.32592312,0.19303084
-0.24552234,-0.19737458,0.29970869,0.08714687,0.15436345,0.05743864,-0.23145856,-0.3295057,0.09660397,0.05618353,-0.02681265,0.20949108
-0.23212737,0.142674,0.1347798,0.0594438,-0.06225283,-0.16571014,-0.10991158,0.18009453,0.15764923,0.07575423,-0.10946005,-0.15076633
